filename,label
C:\Users\ayush\Desktop\ISL\Indian\5\741.jpg,5
C:\Users\ayush\Desktop\ISL\Indian\8\133.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\I\467.jpg,I
C:\Users\ayush\Desktop\ISL\Indian\3\580.jpg,3
C:\Users\ayush\Desktop\ISL\Indian\R\637.jpg,R
C:\Users\ayush\Desktop\ISL\Indian\H\2.jpg,H
C:\Users\ayush\Desktop\ISL\Indian\L\585.jpg,L
C:\Users\ayush\Desktop\ISL\Indian\J\400.jpg,J
C:\Users\ayush\Desktop\ISL\Indian\F\674.jpg,F
C:\Users\ayush\Desktop\ISL\Indian\G\686.jpg,G
C:\Users\ayush\Desktop\ISL\Indian\B\1168.jpg,B
C:\Users\ayush\Desktop\ISL\Indian\M\322.jpg,M
C:\Users\ayush\Desktop\ISL\Indian\Y\153.jpg,Y
C:\Users\ayush\Desktop\ISL\Indian\W\532.jpg,W
C:\Users\ayush\Desktop\ISL\Indian\S\283.jpg,S
C:\Users\ayush\Desktop\ISL\Indian\K\47.jpg,K
C:\Users\ayush\Desktop\ISL\Indian\S\328.jpg,S
C:\Users\ayush\Desktop\ISL\Indian\U\352.jpg,U
C:\Users\ayush\Desktop\ISL\Indian\4\843.jpg,4
C:\Users\ayush\Desktop\ISL\Indian\E\357.jpg,E
C:\Users\ayush\Desktop\ISL\Indian\7\592.jpg,7
C:\Users\ayush\Desktop\ISL\Indian\K\707.jpg,K
C:\Users\ayush\Desktop\ISL\Indian\N\814.jpg,N
C:\Users\ayush\Desktop\ISL\Indian\D\826.jpg,D
C:\Users\ayush\Desktop\ISL\Indian\5\1030.jpg,5
C:\Users\ayush\Desktop\ISL\Indian\3\47.jpg,3
C:\Users\ayush\Desktop\ISL\Indian\M\650.jpg,M
C:\Users\ayush\Desktop\ISL\Indian\P\831.jpg,P
C:\Users\ayush\Desktop\ISL\Indian\F\402.jpg,F
C:\Users\ayush\Desktop\ISL\Indian\D\268.jpg,D
C:\Users\ayush\Desktop\ISL\Indian\8\739.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\9\784.jpg,9
C:\Users\ayush\Desktop\ISL\Indian\U\479.jpg,U
C:\Users\ayush\Desktop\ISL\Indian\U\27.jpg,U
C:\Users\ayush\Desktop\ISL\Indian\P\860.jpg,P
C:\Users\ayush\Desktop\ISL\Indian\W\636.jpg,W
C:\Users\ayush\Desktop\ISL\Indian\V\36.jpg,V
C:\Users\ayush\Desktop\ISL\Indian\U\689.jpg,U
C:\Users\ayush\Desktop\ISL\Indian\D\713.jpg,D
C:\Users\ayush\Desktop\ISL\Indian\J\88.jpg,J
C:\Users\ayush\Desktop\ISL\Indian\X\932.jpg,X
C:\Users\ayush\Desktop\ISL\Indian\T\779.jpg,T
C:\Users\ayush\Desktop\ISL\Indian\T\1177.jpg,T
C:\Users\ayush\Desktop\ISL\Indian\B\980.jpg,B
C:\Users\ayush\Desktop\ISL\Indian\T\1031.jpg,T
C:\Users\ayush\Desktop\ISL\Indian\8\204.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\F\709.jpg,F
C:\Users\ayush\Desktop\ISL\Indian\W\464.jpg,W
C:\Users\ayush\Desktop\ISL\Indian\P\131.jpg,P
C:\Users\ayush\Desktop\ISL\Indian\E\1091.jpg,E
C:\Users\ayush\Desktop\ISL\Indian\G\211.jpg,G
C:\Users\ayush\Desktop\ISL\Indian\B\523.jpg,B
C:\Users\ayush\Desktop\ISL\Indian\X\10.jpg,X
C:\Users\ayush\Desktop\ISL\Indian\A\451.jpg,A
C:\Users\ayush\Desktop\ISL\Indian\C\1141.jpg,C
C:\Users\ayush\Desktop\ISL\Indian\G\713.jpg,G
C:\Users\ayush\Desktop\ISL\Indian\6\882.jpg,6
C:\Users\ayush\Desktop\ISL\Indian\6\813.jpg,6
C:\Users\ayush\Desktop\ISL\Indian\E\702.jpg,E
C:\Users\ayush\Desktop\ISL\Indian\I\054.jpg,I
C:\Users\ayush\Desktop\ISL\Indian\P\1172.jpg,P
C:\Users\ayush\Desktop\ISL\Indian\E\417.jpg,E
C:\Users\ayush\Desktop\ISL\Indian\8\309.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\T\951.jpg,T
C:\Users\ayush\Desktop\ISL\Indian\P\968.jpg,P
C:\Users\ayush\Desktop\ISL\Indian\6\278.jpg,6
C:\Users\ayush\Desktop\ISL\Indian\5\9.jpg,5
C:\Users\ayush\Desktop\ISL\Indian\U\239.jpg,U
C:\Users\ayush\Desktop\ISL\Indian\B\265.jpg,B
C:\Users\ayush\Desktop\ISL\Indian\A\194.jpg,A
C:\Users\ayush\Desktop\ISL\Indian\3\1040.jpg,3
C:\Users\ayush\Desktop\ISL\Indian\S\73.jpg,S
C:\Users\ayush\Desktop\ISL\Indian\Y\879.jpg,Y
C:\Users\ayush\Desktop\ISL\Indian\P\879.jpg,P
C:\Users\ayush\Desktop\ISL\Indian\3\491.jpg,3
C:\Users\ayush\Desktop\ISL\Indian\8\418.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\S\137.jpg,S
C:\Users\ayush\Desktop\ISL\Indian\V\825.jpg,V
C:\Users\ayush\Desktop\ISL\Indian\D\610.jpg,D
C:\Users\ayush\Desktop\ISL\Indian\S\1194.jpg,S
C:\Users\ayush\Desktop\ISL\Indian\O\1195.jpg,O
C:\Users\ayush\Desktop\ISL\Indian\R\141.jpg,R
C:\Users\ayush\Desktop\ISL\Indian\S\335.jpg,S
C:\Users\ayush\Desktop\ISL\Indian\1\944.jpg,1
C:\Users\ayush\Desktop\ISL\Indian\O\463.jpg,O
C:\Users\ayush\Desktop\ISL\Indian\7\768.jpg,7
C:\Users\ayush\Desktop\ISL\Indian\T\914.jpg,T
C:\Users\ayush\Desktop\ISL\Indian\1\1088.jpg,1
C:\Users\ayush\Desktop\ISL\Indian\G\730.jpg,G
C:\Users\ayush\Desktop\ISL\Indian\4\653.jpg,4
C:\Users\ayush\Desktop\ISL\Indian\U\819.jpg,U
C:\Users\ayush\Desktop\ISL\Indian\9\339.jpg,9
C:\Users\ayush\Desktop\ISL\Indian\K\1096.jpg,K
C:\Users\ayush\Desktop\ISL\Indian\N\813.jpg,N
C:\Users\ayush\Desktop\ISL\Indian\C\156 copy.jpg,C
C:\Users\ayush\Desktop\ISL\Indian\Q\429.jpg,Q
C:\Users\ayush\Desktop\ISL\Indian\5\475.jpg,5
C:\Users\ayush\Desktop\ISL\Indian\Q\1085.jpg,Q
C:\Users\ayush\Desktop\ISL\Indian\W\768.jpg,W
C:\Users\ayush\Desktop\ISL\Indian\X\314.jpg,X
C:\Users\ayush\Desktop\ISL\Indian\O\124 copy.jpg,O
C:\Users\ayush\Desktop\ISL\Indian\U\634.jpg,U
C:\Users\ayush\Desktop\ISL\Indian\E\906.jpg,E
C:\Users\ayush\Desktop\ISL\Indian\7\166.jpg,7
C:\Users\ayush\Desktop\ISL\Indian\8\187.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\5\49.jpg,5
C:\Users\ayush\Desktop\ISL\Indian\G\673.jpg,G
C:\Users\ayush\Desktop\ISL\Indian\9\870.jpg,9
C:\Users\ayush\Desktop\ISL\Indian\V\1103.jpg,V
C:\Users\ayush\Desktop\ISL\Indian\W\1123.jpg,W
C:\Users\ayush\Desktop\ISL\Indian\8\294.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\W\163.jpg,W
C:\Users\ayush\Desktop\ISL\Indian\5\504.jpg,5
C:\Users\ayush\Desktop\ISL\Indian\4\492.jpg,4
C:\Users\ayush\Desktop\ISL\Indian\3\1171.jpg,3
C:\Users\ayush\Desktop\ISL\Indian\8\1177.jpg,8
C:\Users\ayush\Desktop\ISL\Indian\E\735.jpg,E
C:\Users\ayush\Desktop\ISL\Indian\Y\159.jpg,Y
C:\Users\ayush\Desktop\ISL\Indian\I\724.jpg,I
